anno,pioggia_annua_mm,pioggia_primavera_mm,temp_media_annua,temp_media_estate,temp_media_primavera,et0_estate,giorni_gelo,giorni_caldo
2010,825.5,202.6,13.4,21.6,11.2,502.1,19,0
2011,550.1,169.1,13.3,21.3,10.7,496.3,19,0
2012,628.3,177.0,13.8,23.2,11.2,538.3,33,5
2013,640.4,189.8,13.5,21.1,11.9,489.4,21,0
2014,601.6,212.8,13.9,21.3,10.5,498.6,11,0
2015,781.1,215.0,13.8,21.8,11.3,485.0,19,0
2016,502.5,172.5,14.4,21.9,12.1,500.1,15,0
2017,450.5,59.4,14.1,23.7,12.2,567.0,12,5
2018,1089.3,173.6,14.1,21.7,12.3,473.1,1,0
2019,736.5,193.7,14.1,24.0,10.5,543.8,11,0
2020,540.3,180.1,14.4,22.3,12.2,517.5,0,0
2021,816.2,140.8,14.8,24.6,11.4,559.8,4,13
2022,412.6,118.5,15.2,24.8,11.3,568.0,2,3
2023,577.8,243.9,14.9,23.3,11.4,526.2,7,11
2024,546.4,159.2,15.6,24.9,13.4,541.9,0,5
2025,680.6,243.5,14.9,23.8,12.1,536.7,0,5
